,BGC,idseq
68,AF004835,EC:6.2.1.3 Cluster_1860055 Cluster_0842334 Cluster_1537867 EC:3.6.3.44 Cluster_1862767
69,AF006633,Cluster_0551422 EC:5.1.3.13 Cluster_1696234
70,AF025541,EC:2.3.1.94
71,AF034152,Cluster_1703739 EC:6.2.1.3 EC:6.2.1.3
72,AF047828,Cluster_1696731
73,AF048833,Cluster_1195088 Cluster_1842525
74,AF079139,EC:1.14.13.185 EC:3.6.4.12
75,AF082879,Cluster_1722574 Cluster_0969467 Cluster_0539446
76,AF098965,EC:2.3.1.179 EC:2.3.1.179 Cluster_0527717 Cluster_0126000
77,AF098966,Cluster_0540997 Cluster_0373158
78,AF130309,Cluster_1523080
79,AF131877,EC:4.2.3.4 Cluster_0391940 EC:1.1.1.25 Cluster_0610929 Cluster_0180760 Cluster_0133176 EC:2.7.1.179
80,AF131878,Unknown EC:2.7.1.179
81,AF131879,Cluster_0337523 Cluster_0610929 Cluster_1123338 Cluster_1633812 Cluster_0083738
82,AF141932,Cluster_0184272 EC:3.2.1.1 Cluster_1449151 Cluster_0971311 Cluster_0910821
83,AF145049,Cluster_0756007 Cluster_0984509 Cluster_1121618 Cluster_1641406 Cluster_0290524 Cluster_0464876 Cluster_0386457
84,AF151722,Cluster_0121338
85,AF164960,Cluster_1369875 Cluster_0606016 Cluster_0874897 Cluster_0780585 Cluster_1519109 Cluster_0269720 EC:4.2.1.46
86,AF187532,Cluster_0567111 EC:1.1.1.362 Cluster_0287969 Cluster_1357819 EC:2.4.1.326 Cluster_0021897 Cluster_0450101 Cluster_0012244 EC:5.5.1.23 EC:4.2.1.46 EC:1.1.1.133 Cluster_0571584 Cluster_1599008 Cluster_1451927 EC:2.1.1.197 EC:2.7.7.24 EC:2.6.1.50
87,AF195122,EC:2.2.1.7 Cluster_1238963 Cluster_1237899 Cluster_1429163 Cluster_0748602 Cluster_0967481 Cluster_1687337 EC:1.3.7.15 EC:1.3.7.15 EC:1.3.7.15 Cluster_0999131 EC:2.1.1.210 EC:2.5.1.10 EC:1.3.99.27 Cluster_0447434 EC:2.5.1.32 Cluster_0671965 EC:6.6.1.1 Cluster_1749258 Cluster_1313476 EC:5.3.3.2 EC:1.3.1.83 Cluster_1291733 Cluster_1812339 Cluster_0412081 EC:1.21.98.3 Cluster_1565856 Cluster_1584924 EC:1.3.7.7 EC:1.3.7.7 Cluster_0289557 EC:1.3.7.7 EC:2.1.1.11 Cluster_1836016 Cluster_1628433 Cluster_1064340 EC:1.14.13.81 Cluster_0057570 Cluster_0305939 Cluster_1339425 Cluster_0585992 Cluster_1523863 Cluster_1323237 Cluster_0970700 Cluster_0301864 Cluster_1606525 EC:3.5.1.5 EC:3.5.1.5 EC:3.5.1.5 Cluster_1772837 Cluster_0134417 Cluster_0037554 Cluster_0976613 Cluster_1563710 Cluster_1810796 Cluster_0036919 EC:1.3.98.3
88,AF200819,Cluster_1570162 Cluster_1746218 Cluster_0560003
89,AF218066,Cluster_0084009 Cluster_0396354
90,AF220951,EC:6.3.2.4 EC:2.3.1.239
91,AF222693,Cluster_0697657
92,AF237894,Cluster_0713979 Cluster_1362157 EC:5.1.3.13 EC:2.7.7.24 Cluster_1594992 EC:1.1.1.133 Cluster_0664472
93,AF244574,Cluster_1674109 EC:3.1.3.25 Cluster_1422406 Cluster_1757352
94,AF262220,Cluster_1490377
95,AF285760,Cluster_0812777 Cluster_0638659 Cluster_1058411 Cluster_1198199 Unknown Cluster_1719970 Cluster_1357478
96,AF318277,EC:1.1.1.25 EC:2.5.1.54 EC:4.2.3.4 Cluster_0133357 EC:1.3.1.12 EC:2.5.1.19 EC:2.7.1.71 Cluster_1513190
97,AF321122,Cluster_0974016 Cluster_1223535 Cluster_0189646 Cluster_1443271 Cluster_1234109 EC:1.1.1.100 Cluster_0929395 EC:1.1.1.100
98,AF329452,Cluster_0456840 Cluster_0294497 Cluster_1429656
99,AF332894,Cluster_0417907 Cluster_0654435 Cluster_0677350 EC:1.6.5.3 Cluster_1744749
100,AF332895,Cluster_0417907 Cluster_0654435 Cluster_0677350 EC:1.6.5.3 Cluster_1744749
101,AF332897,Cluster_0622228 Cluster_0654435 Cluster_1914926 Cluster_1140527
102,AF332898,Cluster_0622228 Cluster_1076725 Cluster_0953274 Cluster_1140527
103,AF332899,Cluster_0622228 Cluster_1076725 Cluster_0953274 Cluster_0193830
104,AF332900,Cluster_0622228 Cluster_1076725 Cluster_0953274 Cluster_0193830
105,AF336366,Cluster_0348326 Cluster_1835790 Cluster_0770991 EC:4.2.3.6 Cluster_0412982
106,AF349575,Cluster_0653875 EC:1.1.1.133 EC:4.2.1.46 Cluster_1374572
107,AF357202,Cluster_0809656 Cluster_0754414 Cluster_0609449 EC:1.1.1.95 Cluster_0848075 EC:2.3.1.94 Cluster_0609127 Cluster_1520207 Cluster_0671965 Cluster_0729721 Cluster_1458988 Cluster_0881093 EC:2.6.1.50 Cluster_0231533 EC:2.3.1.38 EC:2.3.1.94 EC:2.1.1.61
108,AF363060,Cluster_0417907 Cluster_0654435 Cluster_0677350 EC:1.6.5.3 Cluster_1744749
109,AF395828,Cluster_0440394 EC:2.1.4.2 Cluster_0424447
110,AF396778,EC:5.3.3.19 EC:1.1.1.47 EC:6.3.2.49 Cluster_0809656
111,AF396779,EC:5.3.3.19 EC:1.1.1.47 EC:6.3.2.49 Cluster_0809656
112,AF451953,Cluster_0541330 Cluster_1449799 Cluster_1566057 Cluster_0569183 Cluster_0657557 Cluster_1869978 Cluster_1559289 Cluster_1513642 Cluster_0911618 Cluster_1549909 Cluster_1133684 Cluster_0428621 Cluster_1509459 EC:2.7.7.6 Cluster_1330027
113,AF452809,EC:3.1.1.94
114,AF498401,Cluster_1794780 Cluster_1114069 Cluster_0450760 EC:5.1.3.14 Cluster_1896040 Cluster_1207282 Cluster_1422407 Cluster_0031835 Cluster_1675769 EC:5.1.3.26 Cluster_0506805 Cluster_0599966
115,AF498402,Cluster_1794780 Cluster_0722997 Cluster_0185798 Cluster_0405464 Cluster_1779560 EC:5.1.3.2 EC:1.1.1.367 Cluster_0525248 Cluster_0970700 Cluster_1247440 Cluster_1356840 Cluster_0599966
116,AF498403,Cluster_1794780 Cluster_1453220 Cluster_1655024 Cluster_0722397 Cluster_1373605 Cluster_0567797 EC:2.5.1.56 Cluster_0074142 Cluster_0391381 Cluster_0661470 Cluster_1623863 Cluster_0193026 Cluster_1018687 Cluster_1134068 Cluster_1545491 Cluster_0362971 EC:1.1.1.367 Cluster_0331010 Cluster_1869321 EC:5.1.3.2 Cluster_0339598 Cluster_0599966
117,AF498404,Cluster_1794780 Cluster_0978286 Cluster_0792782 EC:1.1.1.22 Cluster_1259936 Cluster_0208403 Cluster_0022569 Cluster_0756734 Cluster_1440640 EC:5.1.3.26 Cluster_1439822 Cluster_0599966
118,AF498405,Cluster_1794780 Cluster_0978286 Cluster_0792782 EC:1.1.1.22 Cluster_1259936 Cluster_0208403 Cluster_0022569 Cluster_0756734 Cluster_1440640 EC:5.1.3.26 Cluster_1439822 Cluster_0599966
119,AF498406,Cluster_1794780 Cluster_0722997 Unknown
120,AF498407,Cluster_1794780 Cluster_0627754 Cluster_1520337 EC:1.1.1.136 Cluster_0677165 Cluster_1715817 Cluster_1061274 Cluster_1811379 Cluster_0562016 Cluster_1018463 Cluster_0137461 Cluster_1789428
121,AF498408,Cluster_1794780 Cluster_1407819 Cluster_0950618 EC:1.1.1.136 EC:1.1.1.335 Cluster_0257405 EC:2.3.1.30 EC:2.6.1.98 Cluster_1311061 Cluster_0163600 Cluster_0832358 Cluster_1716261 Cluster_0970700 Cluster_0860564 Cluster_1498865 Cluster_0735779 Cluster_0599966
122,AF498409,Cluster_1794780 Cluster_0722997 Cluster_0366811 EC:5.1.3.2 EC:1.1.1.367 Cluster_1541203 Cluster_1161265 Cluster_1576498 Cluster_1356840 Cluster_0599966
123,AF498410,Cluster_1794780 Cluster_1407819 Cluster_1037897 EC:1.1.1.136 EC:1.1.1.335 Cluster_0054067 EC:2.3.1.30 EC:2.6.1.98 Cluster_1562203 Cluster_0163600 Cluster_1582575 Cluster_1838152 Cluster_0970700 Cluster_0860564 Cluster_1498865 Cluster_0735779 Cluster_0599966
124,AF498411,Cluster_1794780 Cluster_1114069 Cluster_0450760 EC:5.1.3.14 Cluster_1896040 Cluster_1207282 Cluster_1422407 Cluster_0031835 Cluster_1675769 EC:5.1.3.26 Cluster_0506805 Cluster_0599966
125,AF498412,Cluster_1794780 Cluster_1407819 Cluster_1037897 EC:1.1.1.136 EC:1.1.1.335 Cluster_0054067 EC:2.3.1.30 EC:2.6.1.98 Cluster_1562203 Cluster_0163600 Cluster_1582575 Cluster_1838152 Cluster_0970700 Cluster_0860564 Cluster_1498865 Cluster_0735779 Cluster_0599966
126,AF498413,Cluster_1794780 Cluster_0864922 Cluster_1037897 EC:1.1.1.136 EC:1.1.1.335 Cluster_0127546 EC:2.3.1.30 EC:2.6.1.98 Cluster_1562203 Cluster_0163600 Cluster_1582575 Cluster_1838152 Cluster_0970700 Cluster_0860564 Cluster_1498865 Cluster_0735779 Cluster_0599966
127,AF498414,Cluster_1794780 Cluster_0627754 Cluster_1520337 EC:5.1.3.14 EC:1.1.1.136 Cluster_1259952 Cluster_1388643 Cluster_1296232 Cluster_1811379 Cluster_0348345 Cluster_0562016 Cluster_1018463 Cluster_0137461 Cluster_0653282 Cluster_1789428 Cluster_0599966
128,AF498415,Cluster_0439544 Cluster_1172121 Cluster_1307179 Cluster_0691095 Cluster_1802691 EC:5.1.3.2 EC:1.1.1.367 Cluster_0317626 Cluster_1838152 EC:5.1.3.2 Cluster_0777588 Cluster_0599966
129,AF498416,Cluster_1794780 Cluster_1407819 Cluster_1037897 EC:1.1.1.136 EC:1.1.1.335 Cluster_0054067 EC:2.3.1.30 EC:2.6.1.98 Cluster_1562203 Cluster_0163600 Cluster_1582575 Cluster_1838152 Cluster_0970700 Cluster_0860564 Cluster_1498865 Cluster_0735779 Cluster_0599966
