ID,sentence,labels,isBGC
BGC0000106,EC:3.6.4.12 Cluster_1693706 Cluster_1460681 Cluster_0377029 Cluster_1149399 Cluster_0614311 Cluster_1044407 EC:6.2.1.3 EC:4.3.1.24 EC:4.2.1.119 EC:2.3.1.94 EC:2.3.1.94 Cluster_1281899 Cluster_1747296 EC:4.2.3.4 Cluster_1616016 EC:1.1.1.25 EC:4.2.1.144 Cluster_1348452 Cluster_1794670 EC:2.7.1.179 Cluster_1579099 EC:3.1.2.14 Cluster_0671527 EC:4.2.1.10 Cluster_1120889 Cluster_1486632 Cluster_0066916 Cluster_0816564 Cluster_0781478 Cluster_0437499 Cluster_1909340,Polyketide,Yes
BGC0002701,EC:3.6.3.44 Cluster_0322362 Cluster_1552435 Cluster_1552435 Cluster_1552435 Cluster_1531943 Cluster_1531943 Cluster_1531943 Cluster_1122439 Cluster_0115132 Cluster_0376283,RiPP,Yes
BGC0000474,Cluster_0493105 Cluster_1830047 Cluster_1830045 Cluster_1406014 Cluster_1606350 Cluster_0569733 Cluster_1326728 Cluster_0643379 Cluster_0493105,RiPP,Yes
BGC0002352,EC:1.14.13.59 Cluster_0320466 Cluster_1207787 Cluster_0223573 Cluster_0103942 EC:3.5.1.54 Cluster_1366176,Other,Yes
BGC0001651,Cluster_1256353 Cluster_0882919 Cluster_1491428 EC:2.5.1.56 Cluster_0076340 Cluster_1196035 Cluster_1484708 EC:2.3.1.180 Cluster_1563710 Cluster_1114786 Cluster_1021965 Cluster_0398541,Other,Yes
BGC0000733,EC:2.7.7.9 Cluster_1169189 Cluster_0563045 Cluster_0907692 Cluster_1787996 Cluster_1235188 Cluster_0862789 Cluster_0825627 Cluster_1018935 Cluster_0125566 Cluster_0537942 EC:4.2.1.47 EC:1.1.1.271 Cluster_0173580 Cluster_1014924 EC:2.7.8.31 EC:1.1.1.44,Saccharide,Yes
BGC0000391,Cluster_1803821 Cluster_0031642 Cluster_1809265 Cluster_1404060 EC:1.1.1.100 EC:5.3.3.2 Cluster_1380204,NRP,Yes
BGC0002328,Cluster_1756097 Cluster_0870586 Cluster_1607352 Cluster_1215061 Cluster_1444203 Cluster_0771621,RiPP,Yes
BGC0001084,Cluster_1669242 Cluster_1722574 EC:2.5.1.110 Cluster_0896762 Cluster_1704211 EC:2.5.1.109 EC:1.14.13.176 Cluster_1852520 Cluster_1722574 Cluster_0578272 Cluster_1052945 Cluster_1339804 Cluster_1797757 EC:1.1.1.2 Cluster_0997310 Cluster_1200714 Cluster_1758358 Cluster_0604739,NRP Terpene Alkaloid,Yes
BGC0001225,Cluster_0897649 Cluster_1006225 Cluster_1858134 Cluster_1514708 Cluster_0723012 Cluster_0912875 Cluster_0398541 Cluster_0078526 Cluster_0439024 Cluster_0392446 Cluster_1690299 Cluster_1514710 Cluster_0057857 Cluster_0900666 EC:2.7.7.77 EC:2.6.1.87 Cluster_0182474 Cluster_1514709 Cluster_0121030 Cluster_0121035 EC:6.2.1.43 Cluster_1084729 Cluster_0641043 EC:1.1.1.14,NRP,Yes
BGC0000415,Cluster_1073383 Cluster_1789428 Cluster_1474586 Cluster_0997531 Cluster_1199471 EC:2.4.1.12 EC:6.2.1.3 Cluster_1205959 Cluster_1324087 Cluster_1519434 Cluster_1722574 EC:1.1.1.85 Cluster_1207787 Cluster_1044407 EC:2.7.7.58 EC:1.13.11.11 EC:6.2.1.3,NRP,Yes
BGC0000510,Cluster_0643381 Cluster_1020818 Cluster_0643380,RiPP,Yes
BGC0001927,Cluster_0088660 Cluster_0901555 Cluster_1389119 Cluster_0152797 Cluster_0591002 EC:1.14.14.5 Cluster_0831425 EC:3.6.3.41 Cluster_0047181 Cluster_0143734 EC:1.1.1.14 Cluster_1159173 Cluster_1184258 Cluster_1173967 Cluster_0071669 Cluster_0455364 Cluster_1670549 Cluster_0524580 Cluster_0041051 Cluster_1156945 Cluster_1737181 Cluster_0834998,Other,Yes
BGC0001040,Cluster_0404609 Cluster_0459530 Cluster_0389942 EC:3.6.3.28 Cluster_0534141 Cluster_0534141 Cluster_0163600 EC:2.7.13.3 Cluster_1143098 Cluster_0089494 EC:4.2.1.136 EC:3.6.3.6 Cluster_1124421 EC:2.2.1.2 EC:2.1.1.163 Cluster_1607353 Cluster_1044407 Cluster_1514431 EC:4.3.1.12 EC:3.3.2.13 Cluster_1044407 Cluster_1834799 Cluster_0321044 Cluster_0658593 Cluster_0517301 Cluster_0945189 Cluster_1563711 Cluster_0153903,NRP Polyketide,Yes
BGC0002240,Cluster_0306757 Cluster_1590436,Polyketide,Yes
BGC0000107,EC:2.3.1.94,Polyketide,Yes
BGC0001340,Cluster_0904124 Cluster_1199426 Cluster_1598103 Cluster_0675544 Cluster_1199425 Cluster_0358756 Cluster_1598103 Cluster_0604727 Cluster_0021055 Cluster_0191380 Cluster_0862562 Cluster_0825341 Cluster_1555084 Cluster_1534527 Cluster_1384196 Cluster_1883691 Cluster_0533710 EC:2.4.1.109 Cluster_0747725 Cluster_1245145,Polyketide,Yes
BGC0001049,Cluster_1881079 Cluster_1852520 Cluster_1658632 EC:6.2.1.3,NRP Polyketide,Yes
BGC0001114,Cluster_1050583 EC:1.6.99.3 EC:1.11.1.15 Cluster_1645182 EC:2.7.7.89 EC:2.7.7.89 EC:1.5.3.1 EC:5.4.99.15 EC:3.1.3.15 EC:2.3.3.10 Cluster_0410718 Cluster_1736527 Cluster_0947447 Cluster_0008689 Cluster_0649441 Cluster_0677391 Cluster_0273961 Cluster_1228335 EC:4.1.1.48 Cluster_0668096,NRP Polyketide,Yes
BGC0000115,Cluster_1821912 Cluster_0410901 EC:3.6.3.44 Cluster_0601108 Cluster_1465054 Cluster_1465054 EC:2.3.1.94 Cluster_1809265 Cluster_0284193 Cluster_1809265 EC:2.6.1.50 Cluster_0483195 EC:2.3.1.165 EC:2.3.1.94 Cluster_1465054 EC:3.1.2.14 Cluster_0321044 Cluster_0321044 Cluster_0499220 Cluster_1362134 Cluster_0978456 Cluster_0852283,Polyketide Saccharide,Yes
BGC0001881,Cluster_0641043 Cluster_0459530 Cluster_0698425 Cluster_1852520 Cluster_1658632 Cluster_0272898 Cluster_1852520 Cluster_1048409 Cluster_0194892 Cluster_0819229 Cluster_0306757,NRP Polyketide,Yes
BGC0002133,Cluster_1514711 Cluster_0574765 Cluster_1624374 Cluster_0172813 Cluster_1734292 Cluster_1211227 Cluster_0697986 Cluster_1549235 Cluster_1521961 Cluster_0966815,RiPP,Yes
BGC0001166,Cluster_1616003,NRP,Yes
BGC0000035,Cluster_0423876 Cluster_0970254 Cluster_0519424 Cluster_0924258 EC:2.1.1.307 EC:4.3.1.30 EC:3.2.1.21 Cluster_1044407 Cluster_1809265 EC:3.1.2.14 EC:4.2.1.46 EC:2.7.7.24 EC:5.1.3.13 EC:2.1.1.101 EC:1.14.13.186 Cluster_0115391 EC:1.1.1.364 EC:2.1.1.102 EC:2.4.1.317 EC:2.1.1.187 Cluster_1465054 Cluster_1516797 EC:5.4.99.15 EC:2.3.1.239 EC:2.3.1.239 Cluster_0616194 EC:2.4.1.316 EC:1.1.1.100 Cluster_1223388 Cluster_1613019 Cluster_0353014 EC:2.7.13.3 Cluster_0636509 Cluster_1833184 Cluster_0093744 Cluster_1833184 Cluster_0389761 Cluster_1207787 Cluster_0043991 Cluster_1194423 Cluster_0612009,Polyketide,Yes
BGC0001322,EC:1.1.3.20 EC:4.2.3.51 Cluster_0375941 EC:2.5.1.28 Cluster_1205981 Cluster_0256457 Cluster_1205981 EC:2.5.1.28 EC:4.2.1.133 Cluster_0334221 EC:4.2.3.51 Cluster_0375941 Cluster_0256456 EC:2.3.1.232 EC:2.3.1.133,Terpene,Yes
BGC0001590,Cluster_1014816 Cluster_0367067 Cluster_0430386 Cluster_1245146 Cluster_0050400 Cluster_1150033 Cluster_1622174 Cluster_1789088 Cluster_1000853 Cluster_0907580 Cluster_0624408 Cluster_0639239 Cluster_0866710 EC:6.4.1.2 Cluster_1543250 Cluster_0247860 Cluster_1762676 Cluster_0844170 Cluster_1148233 Cluster_0947447 Cluster_0947447 Cluster_1403632 Cluster_1643218 Cluster_0641043 Cluster_0849766 Cluster_1747296 Cluster_0641043 Cluster_0966815 Cluster_1418703 Cluster_1366179 Cluster_1806792 Cluster_0659041 Cluster_1553843 Cluster_1139482 Cluster_1364953 Cluster_1005149 Cluster_1822016 Cluster_1633245 Cluster_0630491 EC:3.6.3.28 Cluster_0737629 Cluster_0375649 Cluster_0188507,Polyketide,Yes
BGC0002381,Cluster_0768764 Cluster_1344518 Cluster_1691023 Cluster_0775653 Cluster_1760289 Cluster_0874677 Cluster_1150771 Cluster_1073384 EC:2.7.8.7 Cluster_0071270 Cluster_1015792 Cluster_1501678 Cluster_0057857 Cluster_0838663 Cluster_1097545 Cluster_1542022 Cluster_1313057 Cluster_1109749 EC:2.3.1.179 Cluster_0714518 EC:2.3.1.180 Cluster_0183172 Cluster_1161265 Cluster_1254404 Cluster_1389436 Cluster_1758372 Cluster_0919046 Cluster_0402868,Alkaloid Polyketide,Yes
BGC0001585,Cluster_1519434 Cluster_0375941 Cluster_0641043 EC:3.6.3.44 Cluster_1852520 Cluster_0775162 Cluster_1616004 EC:6.2.1.3 Cluster_0675580 Cluster_1429163 Cluster_0377054,Alkaloid,Yes
BGC0002358,Cluster_0095464 Cluster_1153158 Cluster_1449151 Cluster_0201874 EC:1.1.1.14 Cluster_1614103 Cluster_1012180 EC:2.4.1.52 Cluster_0659041 EC:2.7.13.3 EC:3.6.3.28 Cluster_0292378 Cluster_0659041 EC:2.7.13.3 Cluster_0979359 EC:2.7.1.33 Cluster_1199471 EC:3.4.11.2 Cluster_0601168 Cluster_1809530 Cluster_1044407 Cluster_0367067 Cluster_0440532 Cluster_1785523,Polyketide,Yes
BGC0000528,Cluster_0310045 Cluster_0890938 Cluster_1139482 Cluster_0659041 Cluster_1568872 Cluster_1587473 Cluster_0820569,RiPP,Yes
BGC0002014,Cluster_1747296 EC:6.2.1.20 Cluster_1199471 Cluster_0238547 Cluster_1789428 Cluster_1310606 Cluster_0947447 Cluster_1458311 Cluster_1773780 EC:2.1.1.104 Cluster_1831370 Cluster_1427548 Cluster_0947447 Cluster_0947447 Cluster_0476844 Cluster_0292887 Cluster_0048590 Cluster_1458311 EC:1.1.1.100 Cluster_0682022 Cluster_1427548 Cluster_0377193 Cluster_0954312 Cluster_1808334 Cluster_0699537 Cluster_1541596 Cluster_1669331 Cluster_0258169 Cluster_0947491 EC:6.2.1.3 Cluster_0624408,NRP Polyketide,Yes
BGC0002118,Cluster_0172506 Cluster_0172510 Cluster_0172503 Cluster_0172508 Cluster_0961951 Cluster_0172502 Cluster_0459720 Cluster_0567111 Cluster_1739985 Cluster_1324949 Cluster_0223573 Cluster_1736527 Cluster_0242179 Cluster_0949235 Cluster_0172509 Cluster_0172507 Cluster_0172511 Cluster_0077426 Cluster_0172504 Cluster_0172505 Cluster_1507506 Cluster_0172512 Cluster_1106724 Cluster_1006174 Cluster_0172501 Cluster_1784845 Cluster_0649441 Cluster_0497170 EC:2.2.1.2 EC:2.7.7.89 EC:4.1.1.31 Cluster_1606392,NRP Polyketide,Yes
BGC0002686,Cluster_0501106 Cluster_0696099 Cluster_1526881 EC:6.3.2.2 Cluster_0774052 Cluster_0580909 Cluster_0643383 Cluster_0202996 Cluster_0318716 Cluster_0952415 Cluster_0886147 Cluster_1157667 Cluster_1190738 Cluster_0554842 Cluster_0658603 Cluster_0604543 Cluster_0616654 Cluster_1599862 Cluster_0326445 Cluster_0610929 Cluster_0488338 Cluster_0209752 EC:6.2.1.3 Cluster_0643382 Cluster_0400243 Cluster_1199471 Cluster_1555096 Cluster_0533991 EC:6.2.1.3 EC:4.2.99.21 Cluster_1500593 Cluster_0423942 Cluster_0183770 Cluster_1415725 Cluster_0996684 Cluster_0208539 Cluster_1527433 Cluster_1025730 Cluster_0233747 Cluster_1746536 Cluster_0867628 Cluster_0764170 Cluster_1304227 Cluster_1748893 Cluster_1150404 Cluster_1676904 Cluster_1332490 Cluster_0643385 Cluster_1388835 Cluster_0988700 Cluster_0547671 Cluster_0715129 Cluster_1049884 Cluster_0540269 Cluster_0864998 Cluster_0733944 Cluster_1652667 Cluster_0510929 Cluster_1332490 Cluster_0648349 Cluster_1279599 Cluster_0838808 EC:2.7.7.58 EC:4.1.1.11 Cluster_1102752 Cluster_0864917 Cluster_0264961 Cluster_0620867 Cluster_0643384 Cluster_1877268 Cluster_0836435 Cluster_1181355 Cluster_1460159 Cluster_0445122 Cluster_0659041 Cluster_0445122 Cluster_1406216 EC:3.2.1.4 Cluster_0103885 EC:3.2.1.4 Cluster_1294519,NRP,Yes
BGC0002219,Cluster_1245147 EC:2.5.1.29 Cluster_0375941 Cluster_1223796 Cluster_0593163 Cluster_1180328 Cluster_0380799 Cluster_1245148 Cluster_1540522,Terpene,Yes
BGC0000934,EC:2.5.1.121 Cluster_1778935 Cluster_1058093 Cluster_0485738 EC:5.3.3.2 Cluster_0866470 Cluster_1324949 Cluster_0215383 Cluster_1514163 Cluster_0822213 Cluster_0504390 EC:5.3.3.17 EC:4.1.3.27 Cluster_1254983 Cluster_1616016 Cluster_0822213 EC:1.18.1.1 Cluster_0996241 Cluster_0866292 Cluster_0484398 Cluster_0929798 Cluster_0576372 Cluster_1016473,Other,Yes
BGC0000986,Cluster_0057857 Cluster_1313057 Cluster_0223573 Cluster_1159173 EC:6.2.1.3 Cluster_1159173 Cluster_1516797 Cluster_1124421 Cluster_0219838 Cluster_0592680 Cluster_0772331 Cluster_0978682 Cluster_0391319 Cluster_1298789 Cluster_1159173 Cluster_1159173 EC:3.1.2.14,NRP Polyketide,Yes
BGC0001186,Cluster_1248772 Cluster_1616006 Cluster_1882969 Cluster_1571469 Cluster_0129956 Cluster_0189429 Cluster_1617303 Cluster_1616005 Cluster_1564164 Cluster_0314389 Cluster_0459885 Cluster_0949235 Cluster_1616010 EC:2.7.7.59 EC:2.4.1.13 EC:2.7.7.7 EC:4.2.1.3 EC:2.3.1.39 Cluster_0464191 Cluster_1616009 Cluster_1672654 Cluster_0322899 EC:2.3.1.74 Cluster_1616008 Cluster_1616007,Polyketide,Yes
BGC0002698,Cluster_0316927 Cluster_0935171 Cluster_0410901 Cluster_1290196 Cluster_0163128 Cluster_0377030 Cluster_1384555 Cluster_0820569,RiPP,Yes
BGC0000908,Cluster_1632525 EC:3.1.26.4 EC:1.14.18.1 Cluster_1852390 Cluster_0307978 Cluster_1193092 Cluster_1791264,Other,Yes
BGC0000378,Cluster_1903238 Cluster_1681946 Cluster_1124421 Cluster_1429602 Cluster_1313057 EC:3.1.2.14 Cluster_1124909 EC:1.5.1.30 Cluster_0614035 EC:1.14.19.9 Cluster_1228335 Cluster_1228335 Cluster_0031642 Cluster_1044407 Cluster_0641043 Cluster_1389436 Cluster_1199471 Cluster_1555096 EC:5.4.99.15 Cluster_1542812 Cluster_1207787 Cluster_0742456 Cluster_0200163 EC:2.4.2.7 Cluster_0031642 Cluster_1313057 Cluster_1780123 Cluster_1480757 Cluster_1185347,NRP,Yes
BGC0000059,EC:3.1.2.14 EC:1.1.3.6 Cluster_1362134 Cluster_1377462 Cluster_0284193 EC:1.14.15.11 Cluster_1044407 Cluster_1658632 EC:4.2.1.109 Cluster_1465054 EC:2.3.1.165 Cluster_1465054 EC:2.7.2.4,Polyketide,Yes
BGC0000478,Cluster_1606350,RiPP,Yes
BGC0001123,Cluster_1747296 Cluster_1898150 Cluster_0256458 Cluster_0675580 Cluster_1867174 EC:4.3.2.9 Cluster_0698425 Cluster_1223608 Cluster_1429163 Cluster_0256459 Cluster_1852520 Cluster_1866339 Cluster_1577386 Cluster_1519434 Cluster_0641043 EC:2.5.1.18 Cluster_1170884 Cluster_0825660 Cluster_1366176 Cluster_0912400 Cluster_0631010 Cluster_0641043,NRP,Yes
BGC0000024,Cluster_1817689 EC:6.2.1.3 Cluster_0454800 EC:2.3.1.94 EC:2.6.1.85 Cluster_1044407 EC:2.3.1.165 EC:2.3.1.94 Cluster_0175250,Polyketide,Yes
